user,tweets,location
Vasunda99956946,@AUThackeray @iAditiTatkare Sir please tweet something about #jeeneet exam.,
MrBean28867534,"Guy's let's show them.. Make this a dresscode..
U could wear BLACK t-shirt /kurta/trousers/lowers/ribbon/slippers o… https://t.co/eWLaqdeJZm",
Postpon_NEETJEE,@ishkarnBHANDARI @anubha1812 ma'am please request @Swamy39 sir to file fresh petition regarding #JEENEET postponement.,
JagadeeshVavili,"#StudentsDislikePMModi
My request to all #jeeneet aspirants that... We all should wear black dress 
To show that GO… https://t.co/ERJD7Hp6wb",
Deepakjjat,@anubha1812 #jeeneet notice== #Silently break the wire of mouse after giving exams. They won't notice it..... Aur p… https://t.co/go3D9Y2eEO,
Deepakjjat,@anubha1812 #jeeneet notice== #Silently break the wire of mouse after giving exams. They won't notice it..... Aur p… https://t.co/3txkYBxUuH,
Deepakjjat,@advocate_alakh #jeeneet notice== #Silently break the wire of mouse after giving exams. They won't notice it..... A… https://t.co/XgbLQtAQSr,
Deepakjjat,@anubha1812 #jeeneet notice== #Silently break the wire of mouse after giving exams. They won't notice it..... Aur p… https://t.co/BKpLPEzQId,
Deepakjjat,@AISA_tweets #jeeneet notice== #Silently break the wire of mouse after giving exams. They won't notice it..... Aur… https://t.co/yoIkjCUQy8,
Deepakjjat,@AnkitsinghAnuj #jeeneet notice== #Silently break the wire of mouse after giving exams. They won't notice it..... A… https://t.co/F1VOFWnMGs,
Deepakjjat,@Ankyrao01 @anubha1812 @LicypriyaK #jeeneet notice== #Silently break the wire of mouse after giving exams. They won… https://t.co/3rv3vqrcog,
Deepakjjat,@KhanAsmeena @narendramodi @DrRPNishank #jeeneet notice== #Silently break the wire of mouse after giving exams. The… https://t.co/YVrjZE09lU,
Deepakjjat,@sakshijoshii #jeeneet notice== #Silently break the wire of mouse after giving exams. They won't notice it..... Aur… https://t.co/yDwJgFrFG4,
AsitDas98198420,"Country wants Employment,
PM:Make local dogs pet.Students want to postpone #JEENEET, PM:Make Desi Toys. Country wan… https://t.co/pcvCJSPC9s",
Postpon_NEETJEE,@ishkarnBHANDARI Sir please tell @Swamy39 sir to file fresh petition on #JEENEET Postponement. It's not only about… https://t.co/ostjFu4vJE,
Aarzu0214,@Swamy39 please sir please help #jeeneet students. Sir you are the last hope sir . Please help… https://t.co/lZ6tJYuB8U,
SanaSen58896201,"@ishkarnBHANDARI Please please speak to @Swamy39 ji and we request to file a new petition In #JEENEET 
We are. Pleading you @ishkarnBHANDARI",
Mr_AnonymousX1,"@smitaprakash @Mahadev3Shankar Politics aside.
The attitude of this @BJP4India Govt is -

Haq ki baat mat Karo ..
A… https://t.co/aWN9E7Uvqw","Bhubaneshwar , 🇮🇳 "
11Petitioners,"Don't get instigated by anyone who has nothing to do with #JEENEET neither they are JEE aspirant nor NEET
All they… https://t.co/FoDl0KfbZf",
AZIM17_M,"#PrashantBhushan
#Chushul
#pangongtso #PanautiPM #laddakh
#IndiaChinaFaceOff #IndiaChinaBorderTension… https://t.co/2b0etdN9vF","New Delhi, India"
7State_CM_In_SC,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/eV9pPlKOJz",
ThamizhKuruvi,"Physics 200
Chemistry 199
Biology 194
If your Education rejected her Medical sheet!
Than how to sustain! That's why… https://t.co/ZSllXrD9yc",Tree
Ashwani53552338,"All #JEENEET students listen this song ye 
sale sb mil kr Kate hai apna bhai 
In madarchodo ko narak me bhi space n… https://t.co/2ceWNabjQj",
Mr_AnonymousX1,"👉JEE NEET in SEPT
👉@Naveen_Odisha is blind 
👉@narendramodi is adamant
👉@DrRPNishank is mindless
👉@DG_NTA is clueles… https://t.co/43uASCFjOB","Bhubaneshwar , 🇮🇳 "
azhar_ahmadkhan,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/84gB7F0vh6","Uttar Pradesh, India"
omkar01780864,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/2RFZPWkzdt",
omkar01780864,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/Cr3Gs6FiWz",
DhanrajDubey5,"@PMOIndia  @DrRPNishank  @EduMinOfIndia  PLEASE HEAR VOICES OF FUTURE OF #INDIA 
@CMOMaharashtra @OfficeofUT… https://t.co/1ARP19zvXG",
anket11_bs,"Dear 
@HemantSorenJMM
 JI now your survey has been completed &amp; also published in 
@Live_Hindustan

So can we expect… https://t.co/RNjZOMCFY3",
DhanrajDubey5,"WHY GOVT IS NOT EVEN CLARIFYING THE REASON BEHIND  POSTPONING THE #JEENEET ????
#StudentsDislikePMModi… https://t.co/qfoibEYjJM",
Deoxyribose15,"@barandbench Review petition of #JEENEET
Has no new update

#postponeNEETandJEE",
PrinceF70424641,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/HV4sw5C0s0",TALIKOTI
Madhuri03893180,@drharshvardhan @BSF_India Sir it's an earnest request from student's of #jeeneet to please if u cannot come forwar… https://t.co/tEzZpRTZOf,"West Bengal, India"
Abhishe82252275,##India is a worst country where democracy is just a word there is no justice for ##students each &amp; every political… https://t.co/ytyM3qc5zO,
AbhinowPspk,"@Swamy39 Sir plss  give us update about #JEENEET exams it is either positive or negative 😢
 Don’t keep us in dilema… https://t.co/TCQBOexu6z",
fullmoon1509,@HemantSorenJMM sir what about #jeeneet ur pool says everything why not u responding,varanasi
NischalSanghavi,Ahmedabad Mirror survey makes it clear… 55.36% students want exams to be postponed : My story today… https://t.co/Jex7dBtAtE,space
Imohit_17,"Guys , let me clear that in this battle high level of politics is going on . And I regret that Im also a part of th… https://t.co/4GbBypBAps",Maharashtra Se Hu
darshan_dsp,@Swamy39 how to give exams? #jeeneet in such conditions! https://t.co/86aNsFm0IL,nashik.maharashtra.india
HarshKu02266029,"#StudentsHatesMrModi 
Digital Surgical strike with evidence 

4.6Lac dislikes 

Keep in mind these students are goi… https://t.co/32ZlqFzdm2",J&K
kr06_kumar,"80000 corona cases yesterday but students will have to sit for #JEENEET 
Why?
Because Education Minister's only con… https://t.co/cRdY9JKmjx",
Kuvendra_Kumar_,"This is beginning only

This is little anger of 25 lakh students against this govt

There are 10 cr students from… https://t.co/W8T8eGwbF9",Aligarh(up)
KVishalKumar007,"#StudentsDislikePMModi
The present situation of all the politicians who betrayed us and all news channel suporting… https://t.co/RPtUBVg2wV","Bengaluru South, India"
vlog_abhishek,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/0dvYQbUhOy","rajasthan, jaipur"
kushnoor1,"When we decided to fight for postponment of #JEENEET there is no one to support us.

•We make telegram groups 
•We… https://t.co/ZoHolyuVVv","Bihar, India"
yadavhitesh960,"This is a Digital Surgical Strike by Students 
#PostponeJEEAndNEET #NEETJEE #JEENEET https://t.co/i6G0HApUuP","Rajasthan, India"
11Petitioners,"When we decided to fight for postponment of #JEENEET there is no one to support us.

•We make telegram groups 
•We… https://t.co/yMdC4xZTOV",
BPSA_DIRECTOR,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/4jBhIAWqU3","Bihar, India"
charitha_15,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/lN2UsG2ibU",
11Petitioners,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/mISqPm6P5L",
vsdhanvijay_672,"Im not a Supporter of #Congress  or any other party ,
I support only Right one ,

But I will never ever Give vote t… https://t.co/mVH86GZFHb",Chan teh Kothi paayi ah ajo
JagranEnglish,"#NEETJEE2020 | Here are some of the most common FAQs answered related to the entrance exams

#JEENEET 

https://t.co/MRKgCjfqkD","New Delhi, India"
NEETPrep,The step to conduct exam is a harsh one but in future they might come up with some alternatives to help students.… https://t.co/qMOMxQstCD,"New Delhi, India"
Lovely65622940,@KanganaTeam @TwitterIndia @jack @TwitterSupport @KanganaTeam i think u must see wht is trending in twitter student… https://t.co/Qf3sREaGFN,
HiteshMalav9,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/4YS0z2RbpI","PLANET EARTH, MILKYWAY GALAXY"
NSUINagaland,"90% of the audience disliked Narendra Modi's #MannKiBaat video.,
This is the beginning, if the #JEENEET examination… https://t.co/OOxz4lDDqM",Nagaland
Madhuri03893180,@MamataOfficial Mam plz say something about #jeeneet exms... Please postpone... U r our last hope🙏😭. U can understa… https://t.co/TUi1E8Wcqc,"West Bengal, India"
PushpsingP,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/XztokkPem3","Dombivli, India"
hema_lakhera,#StudentsDislikePMModi 95 percent students want #JEENEET to get postpone.but acc to @DrRPNishank SILENT STUDENTS ar… https://t.co/tm2kKTvnVe,
Ashish1999mani,"@DrRPNishank @DG_NTA @narendramodi @PMOIndia @MoHFW_INDIA 
Namaskar everyone,I request everyone to please watch thi… https://t.co/vltCxNpzTz","Motihari, India"
I_amkrish007,"Faith on 

1 . Democracy 
2 . Judiciary 
3 . Government
4 . Media

is officially over . 

Your life is precious onl… https://t.co/cclLZtjDLF","Kolkata, India"
Malishka1111111,"@AISA_tweets @DrRPNishank @narendramodi I downloaded Dr. Pokhrial's picture
That means he has to follow my order😂😂… https://t.co/BuvsuYR24E",
meghakundu462,"GIVE VIEWS TO THOSE TALENTS WHO DESERVE AND NOT NEPO KIDS
#SSCdeclareCGLresult
#StudentsDislikePMModi
#SaveCinema… https://t.co/ZR1sBEFz40",
Ruma_shree,"Why always slamming the govt? The need of the hour requires funds, transport and sanitised classrooms to appear for… https://t.co/ziUsg4Jx41",
KarnSahu01,"Right now in #JEENEET aspirants mind

#RIP_POKHRIYAL 
#StudentsDislikePMModi https://t.co/JuaNJoHcHU",
DeepakB74363340,"Stay negative.... postive to aaj kl corona kay cases v bahut  aa rahy hy ..
Bakki kl kay leay best of luck 
#JEEMain2020 
#JEENEET",
BharathyBilla,"Physics 200
Chemistry 199
Biology 194
If your Education rejected her Medical sheet!
Than how to sustain! That's why… https://t.co/Ylpq0wLRA8",
CareerPick,NTA to conduct JEE Main 2020 from tomorrow (September 1-6) ; check guidelines and instructions at… https://t.co/XeXPHyYO4a,
gopu2002,"@Swamy39 
Swami your last words on #JEENEET  case please will it get postponed or not
😳😳😳😳😳😳",
aniketcfc,Only @AMISHDEVGAN is foolish enough to compare opening liquor shops &amp; conducting exams. I'll tell you who's running… https://t.co/8TpUF48qc7,
HarshitaKhushi3,"Afterall, we live in a country where dislikes are removed and fake followers are added.
Also, the comment section i… https://t.co/L9Q4bQm15y",
MohitTerway,Government is not worried about an academic year loss of #JEENEET they are concerned about the money they can gener… https://t.co/gnbhsILOCl,"New Delhi, India"
suvikhya,"Hm #JEENEET students k liye b kuch krwa do sir plzzz😩😩😩
#JEE_NEETcanWAIT https://t.co/I34lZLsfBy",Why?
Rajeevv06622730,"@TheLallantop 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Min… https://t.co/gLm2xzQG7S",
Ruma_shree,The opposition parties has found a new 'foul game' to play with by extending their artificial support to #JEENEET s… https://t.co/FKSnFm3jry,
DEVENDR38178424,"Ya I think so not only shivsena , Everyone is playing politics. But don't worry they are digging hole for themselve… https://t.co/vRv8Cv5ajm",
vanshik72539935,@Kartik52545846 @ajay_amirtharaj @advocate_alakh Pray for #JEENEET postponment if by any -0.00000001 % it gets postponed I will tell you,
Varunraj_n,"WHERE ARE THE CMs?????🙂🙂🙂🙂🙂
#JEENEET #postponeNEETandJEE","Mumbai~Jalgaon,Maharshtra"
Malishka1111111,"@PMOIndia You won't be forgiven if anything happens to us
We will remember it always, every vote counts

Please pos… https://t.co/4u07mpnorY",
golukum59660846,"Things PM 
@narendramodi
 did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dog… https://t.co/3BqbXGgSkF",
rajeevclasses,"In this live session, Rajeev Sir will help you to revise all class 12 physics formula which can help you to crack J… https://t.co/4IwBSrBd2g","Ballygunge, Kolkata"
Deoxyribose15,"@CMOMaharashtra @Maha_MEDD I think postponing exams should be a quick decision.......
#jeeneet… https://t.co/iYVMOvjvrb",
MudhiMixture,#MMReads |  The recent furore over the Centre’s approval to go ahead with the #JEE Mains and #NEET examination was… https://t.co/9qddvxkq4f,"Orissa, India"
Arungothwal81,"Things PM 
@narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/pLiJYz90kg","jaipur, rajasthan"
Ruma_shree,What kind of ruthless tweets are this? First have an ear on how your so called leader @asadowaisi discriminate and… https://t.co/jA592SmIdM,
10_x_AB,"People who voted for postponement of #JEENEET in some politicians n journalists polls on Twitter, I am 100% sure th… https://t.co/VYC6vu4ahz", India
sharan2820,"This proves that people with fake degrees should not be given important positions in the government.  

You are not… https://t.co/6dIwvwrvhD",
horcrux_888,"#StudentsDislikePMModi
All The Best!!#JEENEET Government is Cruel!!! It's lesson for us that this Government is tot… https://t.co/yLMa99BGTT","Amravati, India"
